4	63	
5	62	
11	74	
14	78	
18	148	
20	154	
24	163	
29	168	
38	211	
39	364	
41	230	
50	363	
50	374	
56	394	
69	539	
70	540	
70	541	
71	543	
76	364	
77	641	
79	583	
80	584	
83	584	
84	613	
86	599	
93	636	
97	659	
98	662	
102	688	
102	689	
108	705	
117	782	
120	799	
121	794	
124	822	
126	826	
127	828	
135	810	
143	842	
145	847	
146	864	
148	868	
149	868	
150	872	
152	869	
158	895	
161	896	
163	897	
164	898	
164	899	
165	900	
165	901	
166	902	
177	911	
179	913	
179	914	
184	923	
184	954	
189	934	
194	941	
205	1226	
208	1021	
215	1022	
216	1035	
216	1036	
221	1029	
224	1033	
227	1034	
228	1042	
230	1040	
249	1073	
254	1058	
254	1076	
263	1094	
265	1095	
272	1108	
272	1109	
276	1112	
294	1147	
294	1148	
294	1149	
294	1150	
295	1149	
295	1150	
298	1160	
300	1167	
303	1318	
309	1172	
309	1180	
311	1174	
312	1176	
316	1181	
329	1199	
336	1230	
340	1207	
344	1205	
344	1221	
357	1313	
363	1491	
364	1264	
376	1292	
383	1309	
396	1333	
407	1391	
411	1375	
412	1376	
432	1411	
456	1450	
461	1461	
465	1467	
465	1569	
469	1500	
470	1472	
471	1473	
472	1480	
475	1487	
488	1503	
492	1533	
507	1518	
508	1523	
510	1525	
511	1522	
512	1517	
519	1537	
519	1543	
524	1570	
537	1572	
540	1580	
548	1582	
570	1610	
573	1613	
579	1626	
597	1628	
603	1635	
608	1641	
608	1642	
608	1644	
628	1660	
631	1670	
658	1678	
663	1685	
98	664
102	680
