Bug_ID	Revision_NO	is_Matched
226835	20	TRUE
226835	61	TRUE
227493	31	TRUE
234428	51	TRUE
234428	52	TRUE
234428	54	TRUE
234428	55	TRUE
234428	56	TRUE
241158	83	TRUE
247254	145	TRUE
249654	166	TRUE
252562	398	TRUE
254864	421	TRUE
257791	247	TRUE
257885	233	TRUE
257893	264	TRUE
257893	266	TRUE
258222	209	TRUE
258222	211	TRUE
269165	568	TRUE
269165	569	TRUE
270777	292	TRUE
270777	470	TRUE
278367	391	TRUE
278367	527	TRUE
299371	620	TRUE
299371	630	TRUE
299371	631	TRUE
299371	632	TRUE
299371	633	TRUE
299371	634	TRUE
299371	635	TRUE
299371	636	TRUE
299371	637	TRUE
299371	638	TRUE
299371	639	TRUE
299371	640	TRUE
299371	641	TRUE
299371	642	TRUE
299371	643	TRUE
299371	645	TRUE
299371	646	TRUE
299371	647	TRUE
299371	648	TRUE
299371	649	TRUE
299371	650	TRUE
299371	651	TRUE
299371	652	TRUE
299371	653	TRUE
299371	654	TRUE
299371	656	TRUE
299371	657	TRUE
299371	659	TRUE
299371	665	TRUE
299371	669	TRUE
299371	670	TRUE
299371	671	TRUE
299371	675	TRUE
299371	676	TRUE
299371	678	TRUE
299371	679	TRUE
299371	680	TRUE
299371	681	TRUE
299371	682	TRUE
299371	683	TRUE
299371	684	TRUE
299371	685	TRUE
299371	686	TRUE
299371	689	TRUE
299371	690	TRUE
299371	691	TRUE
299371	692	TRUE
299371	693	TRUE
299371	694	TRUE
299371	695	TRUE
299371	696	TRUE
299371	697	TRUE
299371	698	TRUE
299371	699	TRUE
299371	700	TRUE
299371	701	TRUE
299371	721	TRUE
299371	725	TRUE
299371	733	TRUE
299371	755	TRUE
299371	804	TRUE
299497	514	TRUE
300676	524	TRUE
300676	525	TRUE
300676	536	TRUE
300676	537	TRUE
300676	543	TRUE
300676	544	TRUE
300676	545	TRUE
301543	538	TRUE
301543	539	TRUE
301543	540	TRUE
301664	547	TRUE
301970	552	TRUE
305150	594	TRUE
308310	658	TRUE
308310	660	TRUE
308310	661	TRUE
308310	662	TRUE
308310	663	TRUE
308310	664	TRUE
308310	672	TRUE
308310	673	TRUE
308310	674	TRUE
308310	738	TRUE
309818	668	TRUE
312876	806	TRUE
313636	812	TRUE
313923	841	TRUE
313923	843	TRUE
313923	844	TRUE
315488	814	TRUE
315580	816	TRUE
315940	833	TRUE
317278	845	TRUE
317278	846	TRUE
317550	828	TRUE
318479	1003	TRUE
318479	1004	TRUE
318479	1005	TRUE
318479	1006	TRUE
318479	1016	TRUE
318982	852	TRUE
319754	856	TRUE
319757	891	TRUE
319757	892	TRUE
319757	893	TRUE
320366	862	TRUE
320366	863	TRUE
320716	865	TRUE
320990	867	TRUE
321008	868	TRUE
321008	870	TRUE
321008	871	TRUE
321008	887	TRUE
321008	898	TRUE
321008	899	TRUE
321008	900	TRUE
321008	901	TRUE
321008	902	TRUE
321008	903	TRUE
321325	877	TRUE
321325	878	TRUE
333169	993	TRUE
335047	1002	TRUE
335047	1008	TRUE
335047	1009	TRUE
