Bug_ID	Revision_NO	is_Matched
231296	551	TRUE
249654	166	TRUE
250741	165	TRUE
253178	188	TRUE
254864	421	TRUE
256155	191	TRUE
256248	190	TRUE
257791	247	TRUE
257878	260	TRUE
257878	261	TRUE
257889	335	TRUE
258224	214	TRUE
258224	215	TRUE
267592	273	TRUE
269165	568	TRUE
269165	569	TRUE
274539	429	TRUE
274539	442	TRUE
278362	378	TRUE
278366	327	TRUE
278367	391	TRUE
278367	527	TRUE
279527	341	TRUE
279527	345	TRUE
279527	346	TRUE
280473	360	TRUE
281622	548	TRUE
281622	549	TRUE
281622	550	TRUE
281622	560	TRUE
282300	380	TRUE
282300	405	TRUE
294311	428	TRUE
299252	761	TRUE
299252	762	TRUE
299252	763	TRUE
299252	764	TRUE
299252	766	TRUE
299252	767	TRUE
299252	768	TRUE
299252	769	TRUE
299252	770	TRUE
299252	771	TRUE
299252	772	TRUE
299252	773	TRUE
299252	774	TRUE
299252	775	TRUE
299252	776	TRUE
299252	777	TRUE
299252	784	TRUE
299252	785	TRUE
299252	786	TRUE
299252	787	TRUE
299371	620	TRUE
299371	630	TRUE
299371	631	TRUE
299371	632	TRUE
299371	633	TRUE
299371	634	TRUE
299371	635	TRUE
299371	636	TRUE
299371	637	TRUE
299371	638	TRUE
299371	639	TRUE
299371	640	TRUE
299371	641	TRUE
299371	642	TRUE
299371	643	TRUE
299371	645	TRUE
299371	646	TRUE
299371	647	TRUE
299371	648	TRUE
299371	649	TRUE
299371	650	TRUE
299371	651	TRUE
299371	652	TRUE
299371	653	TRUE
299371	654	TRUE
299371	656	TRUE
299371	657	TRUE
299371	659	TRUE
299371	665	TRUE
299371	669	TRUE
299371	670	TRUE
299371	671	TRUE
299371	675	TRUE
299371	676	TRUE
299371	678	TRUE
299371	679	TRUE
299371	680	TRUE
299371	681	TRUE
299371	682	TRUE
299371	683	TRUE
299371	684	TRUE
299371	685	TRUE
299371	686	TRUE
299371	689	TRUE
299371	690	TRUE
299371	691	TRUE
299371	692	TRUE
299371	693	TRUE
299371	694	TRUE
299371	695	TRUE
299371	696	TRUE
299371	697	TRUE
299371	698	TRUE
299371	699	TRUE
299371	700	TRUE
299371	701	TRUE
299371	721	TRUE
299371	725	TRUE
299371	733	TRUE
299371	755	TRUE
299371	804	TRUE
299497	514	TRUE
300676	524	TRUE
300676	525	TRUE
300676	536	TRUE
300676	537	TRUE
300676	543	TRUE
300676	544	TRUE
300676	545	TRUE
309818	668	TRUE
310236	778	TRUE
312594	792	TRUE
312594	834	TRUE
312876	806	TRUE
313475	819	TRUE
313475	820	TRUE
313636	812	TRUE
313923	841	TRUE
313923	843	TRUE
313923	844	TRUE
314552	835	TRUE
314552	836	TRUE
315488	814	TRUE
315580	816	TRUE
315940	833	TRUE
317177	825	TRUE
317278	845	TRUE
317278	846	TRUE
317446	826	TRUE
318479	1003	TRUE
318479	1004	TRUE
318479	1005	TRUE
318479	1006	TRUE
318479	1016	TRUE
318559	896	TRUE
318559	914	TRUE
318982	852	TRUE
320990	867	TRUE
321008	868	TRUE
321008	870	TRUE
321008	871	TRUE
321008	887	TRUE
321008	898	TRUE
321008	899	TRUE
321008	900	TRUE
321008	901	TRUE
321008	902	TRUE
321008	903	TRUE
321013	869	TRUE
321013	872	TRUE
321013	873	TRUE
322206	894	TRUE
335047	1002	TRUE
335047	1008	TRUE
335047	1009	TRUE
