4	134	
4	135	
13	451	
16	478	
19	634	
20	895	
20	639	
21	635	
28	996	
28	638	
28	1003	
28	1006	
29	822
32	568	
32	569	
36	669	
36	670	
37	568	
37	569	
38	568	
39	637	
40	640	
40	641	
41	677	
41	678	
43	783	
43	775	
45	777	
46	783	
47	693
50	745	
52	774	
58	778	
59	797	
61	807	
62	814	
72	808	
73	809	
74	822	
79	874	
85	1026	
86	867	
86	869	
86	871	
92	921	
100	903	
101	939	
101	940	
102	942	
102	943	
105	968	
109	917	
109	918	
111	948	
112	947	
113	922	
114	925	
119	970	
119	971	
120	938	
121	938	
129	1015	
130	1002	
130	1022	
133	1025	
137	1054	
137	1055	
138	1062	
138	1063	
141	1069	
143	1068	
144	1067	
147	1077	
147	1078	
148	1078	
149	1076	
149	1079	
149	1083	
149	1084	
149	1085	
155	1183	
162	1414	
168	1776	
169	1739	
169	1740	
170	1753	
179	1743	
183	1757	
183	1760	
183	1761	
190	1825	
192	1826	
194	1824	
195	1845	
197	1878	
197	1892	
200	1891	
203	1895	
205	1905	
207	1927	
210	1967	
210	1972	
217	2293	
218	1983	
218	1984	
218	1989	
219	2033	
224	2237	
227	2102	
229	2456	
231	2405	
232	2420	
233	2511	
237	2666	
242	2432	
243	2620	
243	2621	
244	2421	
253	2518	
262	2596	
263	2594	
267	2615	
267	2617	
267	2619	
277	2666	
281	2889	
282	2711	
286	2716	
291	2890	
74	812	
